period,series_id,turnover
1995-03-01,A3348636C,1098.9
1995-04-01,A3348636C,1067.8
1995-05-01,A3348636C,1083.3
1995-06-01,A3348636C,1045.0
1995-07-01,A3348636C,1094.4
1995-08-01,A3348636C,1109.7
1995-09-01,A3348636C,1126.1
1995-10-01,A3348636C,1166.5
1995-11-01,A3348636C,1194.3
1995-12-01,A3348636C,1314.7
1996-01-01,A3348636C,1213.1
1996-02-01,A3348636C,1128.0
1996-03-01,A3348636C,1180.0
1996-04-01,A3348636C,1169.3
1996-05-01,A3348636C,1145.7
1996-06-01,A3348636C,1109.0
1996-07-01,A3348636C,1138.1
1996-08-01,A3348636C,1145.7
1996-09-01,A3348636C,1104.9
1996-10-01,A3348636C,1142.2
1996-11-01,A3348636C,1129.4
1996-12-01,A3348636C,1230.8
1997-01-01,A3348636C,1180.1
1997-02-01,A3348636C,1059.5
1997-03-01,A3348636C,1148.0
1997-04-01,A3348636C,1141.3
1997-05-01,A3348636C,1170.3
1997-06-01,A3348636C,1113.5
1997-07-01,A3348636C,1164.6
1997-08-01,A3348636C,1173.3
1997-09-01,A3348636C,1154.1
1997-10-01,A3348636C,1204.8
1997-11-01,A3348636C,1183.7
1997-12-01,A3348636C,1306.7
1998-01-01,A3348636C,1185.9
1998-02-01,A3348636C,1050.0
1998-03-01,A3348636C,1141.1
1998-04-01,A3348636C,1106.7
1998-05-01,A3348636C,1144.2
1998-06-01,A3348636C,1088.2
1998-07-01,A3348636C,1162.2
1998-08-01,A3348636C,1144.8
1998-09-01,A3348636C,1149.5
1998-10-01,A3348636C,1258.6
1998-11-01,A3348636C,1200.8
1998-12-01,A3348636C,1310.2
1999-01-01,A3348636C,1244.0
1999-02-01,A3348636C,1124.4
1999-03-01,A3348636C,1245.4
1999-04-01,A3348636C,1236.0
1999-05-01,A3348636C,1271.4
1999-06-01,A3348636C,1208.0
1999-07-01,A3348636C,1219.2
1999-08-01,A3348636C,1233.6
1999-09-01,A3348636C,1261.3
1999-10-01,A3348636C,1314.4
1999-11-01,A3348636C,1318.3
1999-12-01,A3348636C,1455.3
2000-01-01,A3348636C,1297.4
2000-02-01,A3348636C,1206.7
2000-03-01,A3348636C,1324.6
2000-04-01,A3348636C,1252.5
2000-05-01,A3348636C,1282.1
2000-06-01,A3348636C,1274.7
2000-07-01,A3348636C,1317.9
2000-08-01,A3348636C,1328.8
2000-09-01,A3348636C,1432.4
2000-10-01,A3348636C,1460.8
2000-11-01,A3348636C,1416.3
2000-12-01,A3348636C,1538.6
